i cant help myself sugar pie honey bunch,four tops,1965," Ooh, sugar pie, honey bunch
You know that I love you
I can't help myself
I love you and nobody else In and out my life [(In and out my life)]
You come and you go [(You come and you go)]
Leaving just your picture behind [(Ooh)]
And I've kissed it a thousand times [(Ooh)] When you snap your finger or wink your eye
I come a-running to you
I'm tied to your apron strings
And there's nothing that I can do, ooh I can't help myself
No, I can't help myself 'Cause sugar pie, honey bunch [(Sugar pie, honey bunch)]
I'm weaker than a man should be
I can't help myself
I'm a fool in love, you see Wanna tell you I don't love you
Tell you that we're through and I try
But every time I see your face [(Can't help myself)]
I get all choked up inside When I call your name
Girl, it starts to flame [(Burning in my heart, tearing it all apart)]
No matter how I try
My love I cannot hide 'Cause sugar pie, honey bunch [(Sugar pie, honey bunch)]
You know that I'm waiting for you [(Waiting for you)]
I can't help myself
I love you and nobody else, ooh Sugar pie, honey bunch [(Sugar pie, honey bunch)]
I'd do anything you ask me to [(Ask me to)]
I can't help myself
I want you and nobody else, ooh Sugar pie, honey bunch [(Sugar pie, honey bunch)]
You know that I love you [(Love you)]
I can't help myself
No, I can't help myself, ooh Sugar pie, honey bunch [(Sugar pie, honey bunch)]
You know that I love you"
i cant get no satisfaction,the rolling stones,1965," I can't get no satisfaction, I can't get no satisfaction
'Cause I try and I try and I try and I try
I can't get no, I can't get no When I'm drivin' in my car, and the man come on the radio
He's tellin' me more and more about some useless information
Supposed to fire my imagination I can't get no, oh, no, no, no, hey, hey, hey
That's what I say
I can't get no satisfaction, I can't get no satisfaction
'Cause I try and I try and I try and I try
I can't get no, I can't get no When I'm watchin' my tv and a man comes on and tell me
How white my shirts can be
But, he can't be a man 'cause he doesn't smoke
The same cigarettes as me I can't get no, oh, no, no, no, hey, hey, hey
That's what I say
I can't get no satisfaction, I can't get no girl reaction
'Cause I try and I try and I try and I try
I can't get no, I can't get no When I'm ridin' round the world
And I'm doin' this and I'm signin' that
And I'm tryin' to make some girl, who tells me
Baby, better come back maybe next week
Can't you see I'm on a losing streak
I can't get no, oh, no, no, no, hey, hey, hey
That's what I say, I can't get no, I can't get no
I can't get no satisfaction, no satisfaction
No satisfaction, no satisfaction"
you were on my mind,we five,1965," Verse 1 When I woke up this morning
You were on my mind
And you were on my mind
I got troubles, whoa-oh
I got worries, whoa-oh
I got wounds to bind Verse 2: So I went to the corner
Just to ease my pains
Yeah, just to ease my pains
I got troubles, whoa-oh
I got worries, whoa-oh
I came home again [repeat verse 1] When I woke up this morning
You were on my mi-i-i-ind and
You were on my mind
I got troubles, whoa-oh
I got worries, whoa-oh
I got wounds to bind And I got a feelin'
Down in my sho-oo-oo-oes, said
Way down in my sho-oo-oes
Yeah, I got to ramble, whoa-oh
I got to move on, whoa-oh
I got to walk away my blues [repeat verse 1] When I woke up this morning
You were on my mind
You were on my mind
I got troubles, whoa-oh
I got worries, whoa-oh
I got wounds to bind"
youve lost that lovin feelin,the righteous brothers,1965," You never close your eyes anymore when I kiss your lips
And there's no tenderness like before in your fingertips
You're trying hard not to show it, [(baby)]
But baby, baby I know it You've lost that lovin' feelin'
Whoa, that lovin' feelin'
You've lost that lovin' feelin'
Now it's gone... gone... gone... woah Now there's no welcome look in your eyes when I reach for you
And now you're starting to criticize the things I do
It makes me just feel like crying [(baby)]
'Cause baby, something beautiful's dying You lost that lovin' feelin'
Whoa, that lovin' feelin'
You've lost that lovin' feelin'
Now it's gone... gone... gone... woah Baby baby, I get down on my knees for you
If you would only love me like you used to do, yeah
We had a love, a love, a love you don't find everyday
So don't, don't, don't, don't let it slip away Baby (baby), baby (baby)
I beg of you please... please,
I need your love (I need your love),
I need your love (I need your love),
Well, bring it on back (So bring it on back),
Bring it on back (so bring it on back). Bring back that lovin' feelin'
Whoa, that lovin' feelin'
Bring back that lovin' feelin'
'Cause it's gone... gone... gone
And I can't go on, woah Bring back that lovin' feelin'
Whoa, that lovin' feelin'
Bring back that lovin' feelin'
'Cause it's gone... gone..."
downtown,petula clark,1965," When you're alone and life is making you lonely
You can always go downtown.
When you've got worries all the noise and the hurry
Seems to help I know downtown. Just listen to the music of the traffic in the city
Linger on the sidewalk where the neon signs are pretty
How can you lose? The lights are much brighter there
you can forget all your troubles, forget all your cares
so go downtown
Things will be great when you're downtown
No finer place for sure downtown
Everything's waiting for you. Don't hang around and let your problems surround you
There are movie shows downtown.
Maybe you know some little places to go to
where they never close downtown. Just listen to the rhythm of a gentle bossa nova You'll be dancing with 'em too before the night is over happy again.
The lights are much brighter there
you can forget all your troubles, forget all your cares
so go - downtown
Where all the lights are bright downtown
waiting for you tonight downtown
you're gonna be alright now
downtown
downtown downtown
And you may find somebody kind to help and understand you
Someone who is just like you and needs a gentle hand to guide them along.
So maybe I'll see you there
we can forget all our troubles, forget all our cares
so go downtown
Things will be great when you're downtown don't wait a minute more downtown
Everything is waiting for you
downtown
downtown
downtown
downtown
downtown
downtown
downtown..."
help,the beatles,1965," Help, I need somebody
Help, not just anybody
Help, you know I need someone, help When I was younger, so much younger than today
I never needed anybody's help in any way
But now these days are gone, I'm not so self assured
Now I find I've changed my mind and opened up the doors Help me if you can, I'm feeling down
And I do appreciate you being round
Help me, get my feet back on the ground
Won't you please, please help me And now my life has changed in oh so many ways
My independence seems to vanish in the haze
But every now and then I feel so insecure
I know that I just need you like I've never done before Help me if you can, I'm feeling down
And I do appreciate you being round
Help me, get my feet back on the ground
Won't you please, please help me When I was younger, so much younger than today
I never needed anybody's help in any way
But now these days are gone, I'm not so self assured
Now I find I've changed my mind and opened up the doors Help me if you can, I'm feeling down
And I do appreciate you being round
Help me, get my feet back on the ground
Won't you please, please help me, help me, help me, oh"
cant you hear my heart beat,hermans hermits,1965," Every time I see you lookin' my way
Baby, baby, can't you hear my heartbeat?
In the car or walking down the highway
Baby, baby, can't you hear my heartbeat? When you move up closer to me
I get a feelin' that's ooo-wee
Can't you hear the poundin' of my heartbeat
'cause you're the one I love, you're the one I love When I feel you put your arms around me
Baby, baby, can't you hear my heartbeat?
Then I'm glad, I'm mighty glad I found you
Baby, baby, can't you hear my heartbeat? When you asked me to meet your Ma
I knew that baby, we'd be going far
Can't you hear the poundin' of my heartbeat?
'cause you're the one I love, you're the one I love All my friends are cryin' out to meet you
Baby, baby, can't you hear my heartbeat?
Now's the time to go and see the preacher
Baby, baby, can't you hear my heartbeat? Wedding bells are gonna chime
Baby, baby, you're gonna be mine
Can't you hear the poundin' of my heartbeat
'cause you're the one I love, you're the one I love Baby, baby, can't you hear my heartbeat?
Baby, baby, can't you hear my heartbeat?
Baby, baby, can't you hear my heartbeat?"
crying in the chapel,elvis presley,1965," You saw me crying in the chapel
The tears I shed were tears of joy
I know the meaning of contentment
Now I am happy with the Lord Just a plain and simple chapel
Where humble people go to pray
I pray the Lord that I'll grow stronger
As I live from day to day I've searched and I've searched
But I couldn't find
No way on earth
To gain peace of mind Now I'm happy in the chapel
Where people are of one accord (one accord)
We gather in the chapel
Just to sing and praise the Lord You'll search and you'll search
But you'll never find
No way on earth
To gain peace of mind
Take your troubles to the chapel
Get down on your knees and pray (knees and pray)
Your burdens will be lighter
And you'll surely find the way (and you'll surely find the way)"
my girl,the temptations,1965," I've got sunshine
On a cloudy day
When it's cold outside
I've got the month of May I guess you'd say
What can make me feel this way?
My girl, my girl, my girl
Talkin' 'bout my girl
My girl I've got so much honey
The bees envy me
I've got a sweeter song
Than the birds in the trees Well, I guess you'd say
What can make me feel this way?
My girl, my girl, my girl
Talkin' 'bout my girl
My girl
Ooo-ooo, hoo-ooo Hey, hey, hey
Hey, hey, hey
Ooh yeah I don't need no money
Fortune or fame
I got all the riches, baby
One man can claim Well, I guess you'd say
What can make me feel this way?
My girl, my girl, my girl
Talkin' 'bout my girl
My girl I got sunshine on a cloudy day with my girl
I've even got the month of May with my girl
Talkin' bout, talkin' 'bout, talkin' 'bout my girl"
help me rhonda,the beach boys,1965,
king of the road,roger miller,1965," Trailer for sale or rent, rooms to let, fifty cents.
No phone, no pool, no pets, I ain't got no cigarettes
Ah, but, two hours of pushin' broom
Buys an eight by twelve four-bit room
I'm a man of means by no means, king of the road. Third boxcar, midnight train, destination, Bangor, Maine.
Old worn out clothes and shoes,
I don't pay no union dues,
I smoke old stogies I have found short, but not too big around
I'm a man of means by no means, king of the road. I know every engineer on every train
All of their children, and all of their names
And every handout in every town
And every lock that ain't locked, when no one's around. I sing, trailers for sale or rent, rooms to let, fifty cents
No phone, no pool, no pets, I ain't got no cigarettes
Ah, but, two hours of pushin' broom
Buys an eight by twelve four-bit room
I'm a man of means by no means, king of the road."
shotgun,junior walker  the all stars,1965," I said shotgun
Shoot 'em for he run now
Do the jerk baby
Do the jerk now
Hey
Put on your red dress
And then you go downtown now
I said buy yourself a shotgun now
We're gonna break it down baby now
We're gonna load it up baby now
And then you shoot him for he run now
I said shotgun
Shoot 'em for he run now
Do the jerk baby
Do the jerk now
Hey
Shotgun
Shoot 'em for he run now
Do the jerk baby
Do the jerk now
Hey
Put on your high heel shoes
I said were gonna go down here listen to 'em play the blues
We're gonna dig potatoes
We're gonna pick tomatoes
I said shotgun
Shoot 'em for he run now
Do the jerk baby
Do the jerk now
Hey
I said it's twine time
I said it's twine time
I said it's twine time
Hey wailin' out the blues"
i got you babe,sonny  cher,1965," They say we're young and we don't know
We won't find out until we're grown
Well I don't know if all that's true
'Cause you got me, and baby I got you Babe
I got you babe
I got you babe They say our love won't pay the rent
Before it's earned,
Our money's all been spent
I guess that's so, we don't have a pot
But at least I'm sure
Of all the things we got Babe
I got you babe
I got you babe I got flowers in the spring
I got you to wear my ring
And when I'm sad, you're a clown
And if I get scared, you're always around Don't let them say your hair's too long
'Cause I don't care,
With you I can't go wrong
Then put your little hand in mine
There ain't no hill or mountain
We can't climb Babe
I got you babe
I got you babe I got you to hold my hand
I got you to understand
I got you to walk with me
I got you to talk with me
I got you to kiss goodnight
I got you to hold me tight
I got you, I won't let go
I got you to love me so
I got you babe
I got you babe
I got you babe
I got you babe"
this diamond ring,gary lewis  the playboys,1965," Who wants to buy this diamond ring?
She took it off her finger, now it doesn't mean a thing
This diamond ring doesn't shine for me anymore
And this diamond ring doesn't mean what it did before
So if you've got someone whose love is true, let it shine for you This stone is genuine like love should be
And if your baby's truer than my baby was to me
This diamond ring can mean something beautiful
And this diamond ring can mean dreams that are coming true
And then your heart won't have to break like mine did if there's love behind it This diamond ring can mean something beautiful
And this diamond ring can be dreams that are coming true
And then your heart won't have to break like mine did if there's love behind it This diamond ring doesn't shine for me anymore
And this diamond ring doesn't mean what it did before
So if you've got someone whose love is true, let it shine for you
alvino99"
mrs brown youve got a lovely daughter,hermans hermits,1965,
stop in the name of love,the supremes,1965," Stop! In the name of love
Before you break my heart Baby, baby
I'm aware of where you go
Each time you leave my door
I watch you walk down the street
Knowing your other love you'll meet
But this time before you run to her
Leaving me alone and hurt
(Think it over) After I've been good to you?
(Think it over) After I've been sweet to you? Stop! In the name of love
Before you break my heart
Stop! In the name of love
Before you break my heart
Think it over
Think it over I've known of your
Your secluded nights
I've even seen her
Maybe once or twice
But is her sweet expression
Worth more than my love and affection?
But this time before you leave my arms
And rush of to her charms
(Think it over) haven't i been good to you?
(Think it over) haven't i been sweet to you? Stop! in the name of love
Before you break my heart
Stop! in the name of love
Before you break my heart
Think it over
Think it over I've tried so hard, hard to be patient
Hoping you'd stop this infatuation
But each time you are together
I'm so afraid I'll be losing you forever Stop! In the name of love
Before you break my heart
Stop! In the name of love
Before you break my heart"
unchained melody,the righteous brothers,1965," Oh, my love, my darling
I've hungered for your touch
A long, lonely time
Time goes by so slowly
And time can do so much
Are you still mine?
I need your love
I need your love
God speed your love to me Lonely rivers flow
To the sea, to the sea
To the open arms of the sea
Lonely rivers sigh
""Wait for me, wait for me""
I'll be coming home, wait for me Oh, my love, my darling
I've hungered, for your touch
A long, lonely time
Time goes by so slowly
And time can do so much
Are you still mine?
I need your love
I need your love
God speed your love to me Lonely mountains gaze
At the stars, at the stars
Waiting for the dawn of the day
All alone I gaze
At the stars, at the stars
Dreaming of my love far away Oh, my love, my darling
I've hungered, for your touch
A long, lonely time
Time goes by so slowly
And time can do so much
Are you still mine?
I need your love
I need your love
God speed your love to me"
silhouettes,hermans hermits,1965," Took a walk and passed your house late last night
All the shades were pulled and drawn way down tight
From within, the dim light cast two silhouettes on the shade
Oh, what a lovely couple they made Put his arms around your waist, held you tight
Kisses I could almost taste in the night
Wondered why I'm not the guy whose silhouette's on the shade
I couldn't hide the tears in my eyes Ah-ah-ah-ah-ah-ah-ah
Ah-ah-ah-ah-ah-ah-ah-ah-ah-ah Lost control and rang your bell, I was sore
Let me in or else I'll beat down your door
When two strangers who have been two silhouettes on the shade
Said to my shock you're on the wrong block Rushed down to your house with wings on my feet
Loved you like I'd never loved your my sweet
Vowed that you and I would be two silhouettes on the shade
All of our days, two silhouettes on the shade Ah-ah-ah-ah-ah-ah-ah
Ah-ah-ah-ah-ah-ah-ah-ah-ah-ah"
mr tambourine man,the byrds,1965," Hey Mister Tambourine Man, play a song for me
I'm not sleepy and there ain't no place I'm goin' to
Hey Mister Tambourine Man, play a song for me
In the jingle jangle morning, I'll come followin' you Take me for a trip upon your magic swirlin' ship
All my senses have been stripped
And my hands can't feel to grip
And my toes too numb to step
Wait only for my boot heels to be wanderin' I'm ready to go anywhere I'm ready for to fade
On to my own parade cast your dancin' spell my way
I promise to go under it Hey Mister Tambourine Man, play a song for me
I'm not sleepy and there ain't no place I'm goin' to
Hey Mister Tambourine Man, play a song for me
In the jingle jangle morning, I'll come followin' you"
whats new pussycat,tom jones,1965," What's new, pussycat? Woah, woah
What's new, pussycat? Woah, woah Pussycat, pussycat, I've got flowers
And lots of hours to spend with you
So go and powder your cute little pussycat nose Pussycat, pussycat, I love you, yes, I do
You and your pussycat nose What's new, pussycat? Woah, woah
What's new, pussycat? Woah, woah Pussycat, pussycat, you're so thrilling
And I'm so willing to care for you
So go and make up your big little pussycat eyes Pussycat, pussycat, I love you, yes, I do
You and your pussycat eyes What's new, pussycat? Woah, woah
What's new, pussycat? Woah, woah Pussycat, pussycat, you're delicious
And if my wishes can all come true
I'll soon be kissing your sweet little pussycat lips Pussycat, pussycat, I love you, yes, I do
You and your pussycat lips
You and your pussycat eyes
You and your pussycat nose"
eve of destruction,barry mcguire,1965," The eastern world it is explodin'
violence flarin', bullets loadin'
You're old enough to kill but not for votin'
You don't believe in war, what's that gun you're totin'
And even the Jordan river has bodies floatin' But you tell me over and over and over again my friend
Ah, you don't believe we're on the eve of destruction Don't you understand, what I'm trying to say?
Can't you feel the fear that I'm feeling today?
If the button is pushed, there's no running away
There'll be no one to save with the world in a grave
Take a look around you, boy, it's bound to scare you, boy But you tell me over and over and over again my friend
Ah, you don't believe we're on the eve of destruction Yeah, my blood's so mad, feels like coagulatin'
I'm sittin' here just contemplatin'
I can't twist the truth, it knows no regulation
Handful of Senators don't pass legislation And marches alone can't bring integration
When human respect is disintegratin'
This whole crazy world is just too frustratin' And you tell me over and over and over again my friend
Ah, you don't believe we're on the eve of destruction Think of all the hate there is in Red China
Then take a look around to Selma, Alabama
Ah, you may leave here for four days in space
But when you return it's the same old place
The poundin' of the drums, the pride and disgrace
You can bury your dead but don't leave a trace
Hate your next door neighbor but don't forget to say grace
And you tell me over and over and over and over again my friend
Ah, you don't believe we're on the eve of destruction"
hang on sloopy,the mccoys,1965,
ticket to ride,the beatles,1965," I think I'm gonna be sad
I think it's today, yeah
The girl that's driving me mad
Is going away She's got a ticket to ride
She's got a ticket to ride
She's got a ticket to ride
But she don't care She said that living with me
Is bringing her down, yeah
For she would never be free
When I was around She's got a ticket to ride
She's got a ticket to ride
She's got a ticket to ride
But she don't care I don't know why she's riding so high
She ought to think twice
She ought to do right by me
Before she gets to saying goodbye
She ought to think twice
She ought to do right by me I think I'm gonna be sad
I think it's today, yeah The girl that's driving me mad
Is going away, yeah, oh She's got a ticket to ride
She's got a ticket to ride
She's got a ticket to ride
But she don't care I don't know why she's riding so high
She ought to think twice
She ought to do right by me
Before she gets to saying goodbye
She ought to think twice
She ought to do right by me
She said that living with me
Was bringing her down, yeah
For she would never be free
When I was around, oh She's got a ticket to ride
She's got a ticket to ride
She's got a ticket to ride
But she don't care
My baby don't care
My baby don't care
My baby don't care
My baby don't care
My baby don't care
My baby don't care"
papas got a brand new bag,james brown,1965," Come here sister... Papa's in the swing
He ain't too hip... but that new breed thing
He ain't no drag
Papa's got a brand new bag Come here brother... and dig this crazy scene
He's not too fancy... but his line is pretty clean
He ain't no drag.
Papa's got a brand new bag He's doing the Jerk...
He's doing the Fly
Don't play him cheap 'cause you know he ain't shy
He's doing the Monkey, the Mashed Potato, Jump back Jack, See you later
alligator. Come here sister
Papa's in the swing
He ain't too hip now
but I can dig the new breed thing;
He ain't no drag
He's got a brand new bag Oh papa! He's doing the Jerk
Papa... he's doing the Jerk
He's doing the twist ... just like this,
He's doing the Fight ev'ry day and ev'ry night
The thing... like the Boomerang. Hey... come on
Hey! Hey... come on
Hey! Hey... said your uptight...your out of sight...
Come on. See what you know
Come on. See what you know
I just want you to blow, Maceo"
i know a place,petula clark,1965," Every day when the work is behind you
and the shop and the store put the lock on the door,
just get away where your worries won't find you.
If you like, well, I'll tell you more. Don't let the day get the better of you.
When the evening comes, there's so much to do!
You'd better put on your best and wear a smile.
Come along with me a while
'cause I tell you CHORUS:
I know a place
where the music is fine and the lights are always low!
I know a place
where we can go. At the door there's a man who will greet you.
Then you go downstairs to some tables and chairs.
Soon, I'm sure, you'll be tapping your feet
because the beat is the greatest there. All around there are girls and boys.
It's a swingin' place,
a cellar full of noise!
It's got an atmosphere of its own somehow.
You gotta come along right now!
'Cause I tell you CHORUS - musical interlude - Well, all around there are girls and boys.
It's a swingin' place,
a cellar full of noise.
It's got an atmosphere of its own somehow.
You've gotta come along right now!
'Cause I tell you CHORUS I know a place where we can go!
I know a place where the lights are low!
I know a place where we can go!
I know a place where the lights are low!
(repeat and fade out)"
back in my arms again,the supremes,1965," (Brian Holland/Lamont Dozier/Edward Holland, Jr.) 
All day long I hear my telephone ring
Friends calling giving their advice
From the boy I love
I should break away
'Cause heartaches he'll bring one day I lost him once through friends advice
But it's not gonna happen twice
'Cause all advice ever's gotten me
Was many long and sleepless nights Ooh! But now
He's back in my arms again
Right by my side
I got him back in my arms again
So satisfied It's easy for friends to say
Let him go
But I'm the one
Who needs him so
It's his love that makes me strong
Without him I can't go on
This time I'll live my life at ease
Being happy lovin' whom I please
And each time we make romance
I'll be thankfull for a second chance Ooh! Cause
He's back in my arms again
Right by my side
I got him back in my arms again
So satisfied How can Mary tell me what to do
When she lost her love so true?
And Flo, she don't know
'Cause the boy she loves is a Romeo
I listened once to my friends advice
But it's not gonna happen twice
'Cause all advice ever's gotten me
Was many long and sleepless nights Ooh! I got him
Back in my arms again
Right by my side
I got him back in my arms again
So satisfied Ooh! I'm satisfied yeah
So satisfied"
baby im yours,barbara lewis,1965,
the jolly green giant,the kingsmen,1965,
hush hush sweet charlotte,patti page,1965," Hush hush, sweet Charlotte
Charlotte, don't you cry
Hush hush, sweet Charlotte
He'll love you till he dies
Oh, hold him darling please hold him tight
And brush the tear from your eyes
You weep because you had a dream last night
You dreamed that he said goodbye
He held two roses within his hand
Two roses he gave to you
The red rose tells you of his passion
The white rose his love so true
Hush hush, sweet Charlotte
Charlotte, don't you cry
Hush hush, sweet Charlotte
He'll love you till he dies
And every night after he shall die
Yes every night when he's gone
The wind will sing to you this lullaby
Sweet Charlotte was loved by John
Hush hush, sweet Charlotte
Charlotte, don't you cry
Hush hush, sweet Charlotte
He'll love you till he dies"
like a rolling stone,bob dylan,1965," Once upon a time you dressed so fine
Threw the bums a dime
In your prime
Didn't you?
People call
Say, ""Beware doll, you're bound to fall""
You thought they were all
Kiddin' you
You used to Laugh about Everybody that was Hangin' out Now you don't
Talk so loud
Now you don't
Seem so proud About having to be scrounging
Your next meal How does it feel How does it feel To be without a home Like a complete unknown
Like a rolling stone?
Ah, you've Gone to the finest school all right, Miss Lonely
But you know you only used to get
Juiced in it
Nobody's ever taught you how to live out on the street
And now you're gonna
Have to get
Used to it
You say you never
Compromise
With the mystery tramp, but now you
Realize
He's not selling any Alibis
As you stare into the vacuum
Of his eyes
And say
""Do you want to
Make a deal?""
How does it feel
How does it feel
To be on your own
With no direction home
A complete unknown
Like a rolling stone?
Ah, you
Never turned around to see the frowns
On the jugglers and the clowns when they all did
Tricks for you
Never understood that it ain't no good
You shouldn't
Let other people
Get your
Kicks for you
You used to ride on the chrome horse with your
Diplomat
Who carried on his shoulder a
Siamese cat
Ain't it hard
When you discover that
He really wasn't
Where it's at
After he took from you everything
He could steal?
How does it feel
How does it feel
To have on your own
No direction home
Like a complete unknown
Like a rolling stone?
Ah
Princess on the steeple and all the
Pretty people they're all drinkin', thinkin' that they
Got it made
Exchanging all precious gifts
But you'd better
Take your diamond ring
You'd better pawn it, babe
You used to be
So amused
At Napoleon in rags
And the language that he used
Go to him now
He calls you
You can't refuse
When you ain't got nothin'
You got
Nothin' to lose
You're invisible now
You got no secrets
To conceal
How does it feel
Ah, how does it feel
To be on your own
With no direction home
Like a complete unknown
Like a rolling stone?"
ferry cross the mersey,gerry and the pacemakers,1965," Life goes on day after day
Hearts torn in every way So ferry 'cross the mersey
'Cause this land's the place I love
And here I'll stay People they rush everyday
Each with their own secret care So ferry 'cross the mersey
And always take me there
The place I love People around every corner
They seem to smile and say
We don't care what you name is boy
We'll never turn you away So I'll continue to say
Here I always will stay So ferry 'cross the mersey
'Cause this land's the place I love
And here I'll stay"
just once in my life,the righteous brothers,1965," There's a lot of things I want
A lot of things that I'd like to be
But girl I don't forsee a rags to riches story for me
It's just one little thing I got to make come true
It's just one round I've got to win
I can't be a loser with you Baby baby just once in my life
I'm gonna get what I want girl don't let me down
Just once in my life let me hold on to
The good thing I found don't let me down
Baby say that you'd be staying Cause I couldn't face the day if you weren't here by my side
And if you went away then I'd be left without any pride
I've given up on schemes cause everyone fell through
I've given up so many things don't ask me to give up on you And baby, baby just once in my life
I'm gonna get what I want girl don't let me down
Just once in my life
Let me hold on to the good thing I found don't let me down
Baby say that you'd be staying That old pot of gold ain't so easy to find
But if you'll stand by me
Girl I'll keep peace of mind
I can't give you the world
But I'll work hard for you girl
I'll work hard, everyday, all my life,
If you'll say you won't leave me,
Baby don't leave me,
Please don't leave me
Baby don't leave me,
Just do this for me baby, Once in my life, let me get what I want,
Girl don't let me down;
Just once in my life, let me hold onto a good thing I've found, don't
let me down,
Baby say that you'll be stayin' Mmmm,
Oh yeah, Mmmm Just once in my life let me get what I want,
Girl don't let me down;
Just once in my life let me hold onto
A good thing I've found, don't let me down. (fade)"
im henery the eighth i am,hermans hermits,1965," I'm Henry VIII I Am
Herman's Hermits
(MurrayWeston)
- written in 1911
- popularized in England by Harry Champion I'm Henry the eighth I am
Henry the eighth I am, I am
I got married to the widow next door
She's been married seven times before
And every one was an Henry (Henry)
She wouldn't have a Willy or a Sam (no Sam)
I'm her eighth old man, I'm Henry
Henry the eighth I am Second verse same as the first I'm Henry the eighth I am
Henry the eighth I am, I am
I got married to the widow next door
She's been married seven times before
And every one was an Henry (Henry)
She wouldn't have a Willy or a Sam (no Sam)
I'm her eighth old man, I'm Henry
Henry the eighth I am ------ lead guitar ------ I'm Henry the eighth I am
Henry the eighth I am, I am
I got married to the widow next door
She's been married seven times before
And every one was an Henry (Henry)
She wouldn't have a Willy or a Sam (no Sam)
I'm her eighth old man, I'm Henry
Henry the eighth I am H-E-N-R-Y
Henry (Henry)
Henry (Henry)
Henry the eighth I am, I am
Henry the eighth I am Yeah!"
for your love,the yardbirds,1965," (For your love)
(For your love)
I'd give you everything and more, and that's for sure
(For your love)
I'd bring you diamond rings and things right to your door
(For your love)
To thrill you with delight
I'll give you diamonds bright
There'll be things that will excite
To make you dream of me at night (For your love)
(For your love)
(For your love) For your love, for your love
I would give the stars above
For your love, for your love
I would give you all I could (For your love)
(For your love)
(For your love)
I'd give the moon if it were mine to give
(For your love)
I'd give the stars and the sun 'fore I live
(For your love)
To thrill you with delight
I'll give you diamonds bright
There'll be things that will excite
To make you dream of me at night (For your love)
(For your love)
(For your love)
(For your love)"
california girls,the beach boys,1965,
go now,the moody blues,1965," We've already said 'Goodbye'.
Since you've got to go
Oh you'd better go now.
Go now, Go now
Go now
Before you see me cry
I don't want you to tell me just what you intend to do now.
'Cause how many times do I have to tell you, darling, darling,
I'm still in love with you now? We've already said 'So long'
I don't want to see you go.
Oh you'd better go now.
Go now, Go now
Go now
Don't you even try...
Telling me that you really don't want me to end this way
'Cause darling, darling,
Can't you see I want you to stay? Since you've got to go
Oh you'd better go now.
Go now, Go now
Go now
Before you see me cry.
I don't want you to tell me just what you intend to do now.
'Cause how many times do I have to tell you, darling, darling,
I'm still in love, still in love with you now? I don't want to see you go
But, darling, you'd better go now."
goldfinger,shirley bassey,1965," Goldfinger, he's the man
The man with the midas touch
A spider's touch
Such a cold finger
Beckons you to enter his web of sin
But don't go in Golden words he will pour in your ear
But his lies can't disguise what you fear
For a golden girl knows when he's kissed her
It's the kiss of death from Mister Goldfinger
Pretty girl, beware of his heart of gold
This heart is cold Golden words he will pour in your ear
But his lies can't disguise what you fear
For a golden girl knows when he's kissed her
It's the kiss of death from Mister Goldfinger
Pretty girl, beware of his heart of gold
This heart is cold He loves only gold
Only gold
He loves gold
He loves only gold
Only gold
He loves gold"
